timestamp,phase,code,valueA,valueB
636166.401368,camera,96,0.000833,800.000000
636166.710035,detection,65,142.000000,0.000000
636166.710313,detection,35,0.842105,58.000000
636166.710360,detection,34,4.901409,12.000000
636166.710384,detection,32,0.001259,142.000000
636166.710384,detection,97,0.190278,0.000000
636166.710385,detection,85,0.001259,0.190278
636166.710399,detection,66,0.001259,0.190278
636166.784172,detection,65,1022.000000,0.000000
636166.784508,detection,35,0.925926,163.000000
636166.784528,detection,34,5.103718,32.000000
636166.784585,detection,32,0.004583,1022.000000
636166.784585,detection,99,0.800000,0.000000
636166.784585,detection,85,0.004583,0.800000
636166.784586,detection,66,0.004583,0.800000
636166.858865,detection,65,1021.000000,0.000000
636166.859155,detection,35,0.924658,147.000000
636166.859173,detection,34,4.607248,32.000000
636166.859230,detection,32,0.002767,1021.000000
636166.859230,detection,99,0.797222,0.000000
636166.859231,detection,85,0.002767,0.797222
636166.859231,detection,66,0.002767,0.797222
636166.934269,detection,65,994.000000,0.000000
636166.934570,detection,35,0.931973,148.000000
636166.934590,detection,34,4.466801,30.000000
636166.934648,detection,32,0.006426,994.000000
636166.934648,detection,99,0.801389,0.000000
636166.934648,detection,85,0.006426,0.801389
636166.934649,detection,66,0.006426,0.801389
636167.012547,detection,65,1023.000000,0.000000
636167.012858,detection,35,0.930070,144.000000
636167.012876,detection,34,4.222874,30.000000
636167.012936,detection,32,0.003623,1023.000000
636167.012936,detection,99,0.800000,0.000000
636167.012936,detection,85,0.003623,0.800000
636167.012937,detection,66,0.003623,0.800000
636167.093249,detection,65,976.000000,0.000000
636167.093558,detection,35,0.928571,141.000000
636167.093577,detection,34,3.756148,26.000000
636167.093639,detection,32,0.004024,976.000000
636167.093639,detection,99,0.798611,0.000000
636167.093639,detection,85,0.004024,0.798611
636167.093640,detection,66,0.004024,0.798611
636167.168285,detection,65,1017.000000,0.000000
636167.168560,detection,35,0.925170,148.000000
636167.168577,detection,34,4.074729,28.000000
636167.168626,detection,32,0.003914,1017.000000
636167.168626,detection,99,0.800000,0.000000
636167.168626,detection,85,0.003914,0.800000
636167.168626,detection,66,0.003914,0.800000
636167.246123,detection,65,1007.000000,0.000000
636167.246396,detection,35,0.930556,145.000000
636167.246414,detection,34,4.031777,28.000000
636167.246468,detection,32,0.003400,1007.000000
636167.246468,detection,99,0.800000,0.000000
636167.246468,detection,85,0.003400,0.800000
636167.246468,detection,66,0.003400,0.800000
636167.326051,detection,65,981.000000,0.000000
636167.326316,detection,35,0.920863,140.000000
636167.326333,detection,34,3.853211,27.000000
636167.326386,detection,32,0.002624,981.000000
636167.326386,detection,99,0.800000,0.000000
636167.326387,detection,85,0.002624,0.800000
636167.326387,detection,66,0.002624,0.800000
636167.405822,detection,65,965.000000,0.000000
636167.406094,detection,35,0.923611,145.000000
636167.406112,detection,34,4.056995,27.000000
636167.406167,detection,32,0.001235,965.000000
