timestamp,phase,code,valueA,valueB
636609.968901,camera,96,0.000833,800.000000
636610.277980,detection,65,558.000000,0.000000
636610.278298,detection,35,0.906250,129.000000
636610.278339,detection,34,3.467742,15.000000
636610.278376,detection,32,0.023168,558.000000
636610.278376,detection,98,0.522222,0.000000
636610.278376,detection,85,0.023168,0.522222
636610.278385,detection,66,0.023168,0.522222
636610.351089,detection,65,260.000000,0.000000
636610.351197,detection,35,0.893333,76.000000
636610.351206,detection,34,4.384615,15.000000
636610.351218,detection,32,0.014853,260.000000
636610.351219,detection,98,0.393056,0.000000
636610.351219,detection,85,0.014853,0.393056
636610.351219,detection,66,0.014853,0.393056
636610.427078,detection,65,891.000000,0.000000
636610.427327,detection,35,0.924242,133.000000
636610.427342,detection,34,4.925926,33.000000
636610.427386,detection,32,0.003242,891.000000
636610.427386,detection,99,0.795833,0.000000
636610.427386,detection,85,0.003242,0.795833
636610.427386,detection,66,0.003242,0.795833
636610.504146,detection,65,922.000000,0.000000
636610.504417,detection,35,0.948148,136.000000
636610.504433,detection,34,5.015184,34.000000
636610.504481,detection,32,0.003252,922.000000
636610.504481,detection,99,0.794444,0.000000
636610.504481,detection,85,0.003252,0.794444
636610.504482,detection,66,0.003252,0.794444
636610.582019,detection,65,972.000000,0.000000
636610.582280,detection,35,0.948148,136.000000
636610.582295,detection,34,4.057613,29.000000
636610.582343,detection,32,0.002591,972.000000
636610.582343,detection,99,0.797222,0.000000
636610.582343,detection,85,0.002591,0.797222
636610.582343,detection,66,0.002591,0.797222
636610.660015,detection,65,931.000000,0.000000
636610.660278,detection,35,0.933824,137.000000
636610.660292,detection,34,4.708915,32.000000
636610.660336,detection,32,0.001073,931.000000
636610.660336,detection,99,0.794444,0.000000
636610.660336,detection,85,0.001073,0.794444
636610.660336,detection,66,0.001073,0.794444
636610.738792,detection,65,916.000000,0.000000
636610.739030,detection,35,0.925926,136.000000
636610.739044,detection,34,5.048035,34.000000
636610.739086,detection,32,0.001624,916.000000
636610.739086,detection,99,0.794444,0.000000
636610.739087,detection,85,0.001624,0.794444
636610.739087,detection,66,0.001624,0.794444
636610.817508,detection,65,932.000000,0.000000
636610.817737,detection,35,0.920290,139.000000
636610.817750,detection,34,4.772532,32.000000
636610.817793,detection,32,0.003064,932.000000
636610.817793,detection,99,0.795833,0.000000
636610.817793,detection,85,0.003064,0.795833
636610.817794,detection,66,0.003064,0.795833
636610.895928,detection,65,915.000000,0.000000
636610.896150,detection,35,0.917293,134.000000
636610.896163,detection,34,4.393443,30.000000
636610.896207,detection,32,0.002135,915.000000
636610.896207,detection,99,0.795833,0.000000
636610.896207,detection,85,0.002135,0.795833
636610.896208,detection,66,0.002135,0.795833
636610.974398,detection,65,892.000000,0.000000
636610.974669,detection,35,0.928571,127.000000
636610.974682,detection,34,4.128924,29.000000
636610.974722,detection,32,0.004323,892.000000
636610.974722,detection,98,0.454167,0.000000
636610.974722,detection,85,0.004323,0.454167
636610.974722,detection,66,0.004323,0.454167
636611.053309,detection,65,886.000000,0.000000
636611.053595,detection,35,0.928000,126.000000
636611.053608,detection,34,4.124154,29.000000
636611.053650,detection,32,0.005602,886.000000
636611.053650,detection,98,0.454167,0.000000
636611.053650,detection,85,0.005602,0.454167
636611.053650,detection,66,0.005602,0.454167
636611.132514,detection,65,916.000000,0.000000
636611.132732,detection,35,0.930769,131.000000
636611.132746,detection,34,4.290393,30.000000
636611.132789,detection,32,0.004901,916.000000
636611.132789,detection,98,0.622222,0.000000
636611.132789,detection,85,0.004901,0.622222
636611.132790,detection,66,0.004901,0.622222
636611.211731,detection,65,903.000000,0.000000
636611.212013,detection,35,0.927419,125.000000
636611.212026,detection,34,4.152824,30.000000
636611.212067,detection,32,0.004283,903.000000
636611.212067,detection,98,0.454167,0.000000
636611.212067,detection,85,0.004283,0.454167
636611.212067,detection,66,0.004283,0.454167
636611.291077,detection,65,917.000000,0.000000
636611.291368,detection,35,0.928000,126.000000
636611.291380,detection,34,4.122138,30.000000
636611.291423,detection,32,0.003002,917.000000
636611.291424,detection,98,0.454167,0.000000
636611.291424,detection,85,0.003002,0.454167
636611.291424,detection,66,0.003002,0.454167
636611.370400,detection,65,896.000000,0.000000
636611.370684,detection,35,0.920000,126.000000
