timestamp,phase,code,valueA,valueB
410883.470072,camera,96,0.000833,800.000000
410883.778200,detection,65,470.000000,0.000000
410883.778400,detection,32,0.010161,470.000000
410883.778407,detection,66,0.010161,470.000000
410883.848213,detection,65,295.000000,0.000000
410883.848273,detection,32,0.009497,295.000000
410883.848273,detection,66,0.009497,295.000000
410883.919799,detection,65,642.000000,0.000000
410883.919929,detection,32,0.007460,642.000000
410883.919929,detection,66,0.007460,642.000000
410883.991325,detection,65,614.000000,0.000000
410883.991463,detection,32,0.014240,614.000000
410883.991463,detection,66,0.014240,614.000000
410884.065435,detection,65,626.000000,0.000000
410884.065581,detection,32,0.010170,626.000000
410884.065581,detection,66,0.010170,626.000000
410884.138542,detection,65,590.000000,0.000000
410884.138672,detection,32,0.012367,590.000000
410884.138673,detection,66,0.012367,590.000000
410884.213100,detection,65,599.000000,0.000000
410884.213223,detection,32,0.010174,599.000000
410884.213223,detection,66,0.010174,599.000000
410884.288069,detection,65,571.000000,0.000000
410884.288202,detection,32,0.011861,571.000000
410884.288202,detection,66,0.011861,571.000000
410884.363970,detection,65,594.000000,0.000000
410884.364095,detection,32,0.008773,594.000000
410884.364095,detection,66,0.008773,594.000000
410884.440078,detection,65,603.000000,0.000000
410884.440205,detection,32,0.011420,603.000000
410884.440205,detection,66,0.011420,603.000000
410884.515806,detection,65,618.000000,0.000000
410884.515937,detection,32,0.007936,618.000000
410884.515937,detection,66,0.007936,618.000000
410884.591113,detection,65,567.000000,0.000000
410884.591239,detection,32,0.011586,567.000000
410884.591239,detection,66,0.011586,567.000000
410884.665883,detection,65,588.000000,0.000000
410884.666009,detection,32,0.014341,588.000000
410884.666009,detection,66,0.014341,588.000000
410884.743256,detection,65,586.000000,0.000000
410884.743370,detection,32,0.009458,586.000000
410884.743370,detection,66,0.009458,586.000000
410884.820508,detection,65,582.000000,0.000000
410884.820624,detection,32,0.010351,582.000000
410884.820624,detection,66,0.010351,582.000000
410884.897773,detection,65,833.000000,0.000000
410884.897944,detection,32,0.006150,833.000000
410884.897944,detection,66,0.006150,833.000000
