timestamp,phase,code,valueA,valueB
447512.260342,camera,96,0.000833,800.000000
447512.571893,detection,65,19.000000,0.000000
447512.572057,detection,32,0.001318,19.000000
447512.572058,detection,33,0.172222,0.818182
447512.572058,detection,85,0.001318,0.172222
447512.572065,detection,66,0.001318,12.000000
447512.646646,detection,65,4.000000,0.000000
447512.646647,detection,80,4.000000,0.000000
447512.646647,detection,66,0.000000,4.000000
447512.722315,detection,65,688.000000,0.000000
447512.722762,detection,32,0.038261,688.000000
447512.722762,detection,33,0.706944,0.895954
447512.722762,detection,82,0.706944,0.000000
447512.722763,detection,66,0.038261,174.000000
447512.799467,detection,65,628.000000,0.000000
447512.799887,detection,32,0.039812,628.000000
447512.799887,detection,33,0.694444,0.894410
447512.799888,detection,82,0.694444,0.000000
447512.799888,detection,66,0.039812,162.000000
447512.877212,detection,65,597.000000,0.000000
447512.877630,detection,32,0.044592,597.000000
447512.877630,detection,33,0.693056,0.889571
447512.877630,detection,82,0.693056,0.000000
447512.877631,detection,66,0.044592,164.000000
447512.955473,detection,65,601.000000,0.000000
447512.955884,detection,32,0.041401,601.000000
447512.955884,detection,33,0.715278,0.877095
447512.955884,detection,82,0.715278,0.000000
447512.955884,detection,66,0.041401,180.000000
447513.033554,detection,65,629.000000,0.000000
447513.033973,detection,32,0.040260,629.000000
447513.033974,detection,33,0.716667,0.888889
447513.033974,detection,82,0.716667,0.000000
447513.033974,detection,66,0.040260,172.000000
447513.112942,detection,65,568.000000,0.000000
447513.113272,detection,32,0.049653,568.000000
447513.113272,detection,33,0.723611,0.893082
447513.113272,detection,82,0.723611,0.000000
447513.113273,detection,66,0.049653,160.000000
447513.192339,detection,65,572.000000,0.000000
447513.192707,detection,32,0.049844,572.000000
447513.192707,detection,33,0.720833,0.887574
447513.192707,detection,82,0.720833,0.000000
447513.192707,detection,66,0.049844,170.000000
447513.271425,detection,65,577.000000,0.000000
447513.271747,detection,32,0.050214,577.000000
447513.271747,detection,33,0.720833,0.888235
447513.271747,detection,82,0.720833,0.000000
447513.271747,detection,66,0.050214,171.000000
447513.350951,detection,65,579.000000,0.000000
447513.351284,detection,32,0.044238,579.000000
447513.351284,detection,33,0.719444,0.874251
