timestamp,phase,code,valueA,valueB
399894.388009,camera,96,0.000833,800.000000
399894.684899,detection,65,0.000000,0.000000
399894.684967,detection,66,0.000000,0.000000
399894.784065,detection,65,0.000000,0.000000
399894.784068,detection,66,0.000000,0.000000
399894.882787,detection,65,8.000000,0.000000
399894.883298,detection,32,0.003125,8.000000
399894.883299,detection,66,0.003125,8.000000
399894.986479,detection,65,12.000000,0.000000
399894.986495,detection,32,0.003125,12.000000
399894.986495,detection,66,0.003125,12.000000
399895.091251,detection,65,9.000000,0.000000
399895.091269,detection,32,0.224411,9.000000
399895.091270,detection,66,0.224411,9.000000
399895.189840,detection,65,0.000000,0.000000
399895.189844,detection,66,0.000000,0.000000
399895.287067,detection,65,20.000000,0.000000
399895.287085,detection,32,0.457457,20.000000
399895.287085,detection,66,0.457457,20.000000
399895.386259,detection,65,38.000000,0.000000
399895.386279,detection,32,0.518486,38.000000
399895.386279,detection,66,0.518486,38.000000
399895.484723,detection,65,44.000000,0.000000
399895.484745,detection,32,0.487936,44.000000
399895.484745,detection,66,0.487936,44.000000
399895.581300,detection,65,66.000000,0.000000
399895.581324,detection,32,0.474014,66.000000
399895.581324,detection,66,0.474014,66.000000
399895.678701,detection,65,71.000000,0.000000
399895.678730,detection,32,0.453192,71.000000
399895.678730,detection,66,0.453192,71.000000
399895.775705,detection,65,84.000000,0.000000
399895.775753,detection,32,0.452950,84.000000
399895.775753,detection,66,0.452950,84.000000
399895.872504,detection,65,88.000000,0.000000
399895.872539,detection,32,0.432343,88.000000
399895.872540,detection,66,0.432343,88.000000
399895.968863,detection,65,106.000000,0.000000
399895.968902,detection,32,0.396166,106.000000
399895.968902,detection,66,0.396166,106.000000
399896.067118,detection,65,101.000000,0.000000
399896.067162,detection,32,0.416237,101.000000
399896.067162,detection,66,0.416237,101.000000
399896.161982,detection,65,154.000000,0.000000
399896.162035,detection,32,0.367502,154.000000
399896.162035,detection,66,0.367502,154.000000
399896.256260,detection,65,343.000000,0.000000
399896.256365,detection,32,0.152416,343.000000
399896.256365,detection,66,0.152416,343.000000
399896.350316,detection,65,334.000000,0.000000
399896.350418,detection,32,0.168990,334.000000
399896.350418,detection,66,0.168990,334.000000
399896.447394,detection,65,383.000000,0.000000
399896.447526,detection,32,0.146198,383.000000
399896.447526,detection,66,0.146198,383.000000
399896.544661,detection,65,357.000000,0.000000
399896.544771,detection,32,0.136228,357.000000
399896.544771,detection,66,0.136228,357.000000
399896.640823,detection,65,399.000000,0.000000
399896.640937,detection,32,0.146018,399.000000
399896.640937,detection,66,0.146018,399.000000
399896.737577,detection,65,455.000000,0.000000
399896.737716,detection,32,0.127305,455.000000
399896.737716,detection,66,0.127305,455.000000
399896.833528,detection,65,376.000000,0.000000
399896.833664,detection,32,0.133067,376.000000
399896.833664,detection,66,0.133067,376.000000
399896.934717,detection,65,421.000000,0.000000
399896.934849,detection,32,0.137913,421.000000
399896.934849,detection,66,0.137913,421.000000
399897.032217,detection,65,418.000000,0.000000
399897.032363,detection,32,0.122735,418.000000
399897.032364,detection,66,0.122735,418.000000
399897.130507,detection,65,438.000000,0.000000
399897.130652,detection,32,0.149794,438.000000
399897.130653,detection,66,0.149794,438.000000
399897.231870,detection,65,418.000000,0.000000
399897.232003,detection,32,0.151288,418.000000
399897.232003,detection,66,0.151288,418.000000
399897.335684,detection,65,433.000000,0.000000
399897.335827,detection,32,0.149242,433.000000
399897.335827,detection,66,0.149242,433.000000
399897.440047,detection,65,461.000000,0.000000
399897.440191,detection,32,0.140304,461.000000
399897.440191,detection,66,0.140304,461.000000
399897.538626,detection,65,485.000000,0.000000
399897.538777,detection,32,0.132538,485.000000
399897.538777,detection,66,0.132538,485.000000
399897.635883,detection,65,456.000000,0.000000
399897.636022,detection,32,0.139150,456.000000
399897.636023,detection,66,0.139150,456.000000
399897.732543,detection,65,461.000000,0.000000
399897.732678,detection,32,0.149714,461.000000
399897.732678,detection,66,0.149714,461.000000
399897.827384,detection,65,421.000000,0.000000
399897.827522,detection,32,0.165181,421.000000
399897.827522,detection,66,0.165181,421.000000
399897.924066,detection,65,441.000000,0.000000
399897.924201,detection,32,0.147284,441.000000
399897.924201,detection,66,0.147284,441.000000
399898.020039,detection,65,431.000000,0.000000
399898.020151,detection,32,0.157733,431.000000
399898.020151,detection,66,0.157733,431.000000
399898.111973,detection,65,452.000000,0.000000
399898.112084,detection,32,0.138821,452.000000
399898.112084,detection,66,0.138821,452.000000
399898.208180,detection,65,456.000000,0.000000
399898.208296,detection,32,0.134675,456.000000
399898.208297,detection,66,0.134675,456.000000
399898.305044,detection,65,441.000000,0.000000
