timestamp,phase,code,valueA,valueB
530844.799025,camera,96,0.000833,800.000000
530845.036360,detection,65,757.000000,0.000000
530845.036726,detection,98,0.562500,0.921053
530845.036727,detection,34,6.250000,25.000000
530845.036874,detection,32,0.027404,757.000000
530845.036874,detection,33,0.562500,0.921053
530845.036874,detection,84,0.921053,0.000000
530845.036882,detection,66,0.027404,153.000000
530845.106961,detection,65,3267.000000,0.000000
530845.107686,detection,99,0.930556,0.943333
530845.107686,detection,34,5.900000,59.000000
530845.108135,detection,32,0.025694,3267.000000
530845.108135,detection,33,0.930556,0.943333
530845.108136,detection,84,0.943333,0.000000
530845.108137,detection,66,0.025694,301.000000
530845.179768,detection,65,3399.000000,0.000000
530845.180431,detection,99,0.936111,0.947531
530845.180431,detection,34,6.400000,64.000000
530845.180847,detection,32,0.028365,3399.000000
530845.180847,detection,33,0.936111,0.947531
530845.180847,detection,84,0.947531,0.000000
530845.180848,detection,66,0.028365,325.000000
530845.254570,detection,65,3533.000000,0.000000
530845.255295,detection,99,0.940278,0.946903
530845.255296,detection,34,6.400000,64.000000
530845.255749,detection,32,0.026081,3533.000000
530845.255749,detection,33,0.940278,0.946903
530845.255749,detection,84,0.946903,0.000000
530845.255750,detection,66,0.026081,340.000000
530845.332668,detection,65,3295.000000,0.000000
530845.333316,detection,99,0.937500,0.953795
530845.333316,detection,34,6.100000,61.000000
530845.333757,detection,32,0.022855,3295.000000
530845.333757,detection,33,0.937500,0.953795
530845.333757,detection,84,0.953795,0.000000
530845.333758,detection,66,0.022855,304.000000
530845.410381,detection,65,3428.000000,0.000000
530845.411065,detection,99,0.930556,0.952681
530845.411065,detection,34,6.100000,61.000000
530845.411506,detection,32,0.026333,3428.000000
530845.411506,detection,33,0.930556,0.952681
530845.411506,detection,84,0.952681,0.000000
530845.411507,detection,66,0.026333,318.000000
530845.488508,detection,65,3277.000000,0.000000
530845.489147,detection,99,0.929167,0.952703
530845.489147,detection,34,5.727273,63.000000
530845.489581,detection,32,0.029148,3277.000000
530845.489581,detection,33,0.929167,0.952703
530845.489581,detection,84,0.952703,0.000000
530845.489582,detection,66,0.029148,297.000000
530845.566903,detection,65,3267.000000,0.000000
530845.567547,detection,99,0.927778,0.947712
530845.567547,detection,34,6.200000,62.000000
530845.567979,detection,32,0.033147,3267.000000
530845.567979,detection,33,0.927778,0.947712
530845.567980,detection,84,0.947712,0.000000
530845.567980,detection,66,0.033147,307.000000
530845.646146,detection,65,3334.000000,0.000000
530845.646804,detection,99,0.938889,0.951299
530845.646804,detection,34,6.300000,63.000000
530845.647246,detection,32,0.030523,3334.000000
530845.647246,detection,33,0.938889,0.951299
530845.647246,detection,84,0.951299,0.000000
530845.647246,detection,66,0.030523,309.000000
530845.724825,detection,65,3301.000000,0.000000
530845.725510,detection,99,0.929167,0.945687
530845.725510,detection,34,6.200000,62.000000
530845.725965,detection,32,0.030948,3301.000000
530845.725965,detection,33,0.929167,0.945687
530845.725965,detection,84,0.945687,0.000000
530845.725966,detection,66,0.030948,314.000000
530845.803953,detection,65,3211.000000,0.000000
530845.804585,detection,99,0.938889,0.946032
530845.804585,detection,34,6.400000,64.000000
530845.805013,detection,32,0.031181,3211.000000
530845.805013,detection,33,0.938889,0.946032
530845.805013,detection,84,0.946032,0.000000
530845.805014,detection,66,0.031181,316.000000
530845.882837,detection,65,3318.000000,0.000000
530845.883469,detection,99,0.925000,0.948553
530845.883469,detection,34,6.500000,65.000000
530845.883907,detection,32,0.032853,3318.000000
530845.883907,detection,33,0.925000,0.948553
530845.883907,detection,84,0.948553,0.000000
530845.883908,detection,66,0.032853,312.000000
530845.961719,detection,65,3308.000000,0.000000
530845.962382,detection,99,0.938889,0.937500
530845.962382,detection,34,7.000000,63.000000
530845.962819,detection,32,0.034624,3308.000000
530845.962819,detection,33,0.938889,0.937500
530845.962819,detection,84,0.937500,0.000000
530845.962820,detection,66,0.034624,337.000000
530846.040724,detection,65,3305.000000,0.000000
530846.041397,detection,99,0.930556,0.944099
530846.041398,detection,34,6.500000,65.000000
530846.041851,detection,32,0.031218,3305.000000
530846.041851,detection,33,0.930556,0.944099
530846.041851,detection,84,0.944099,0.000000
530846.041851,detection,66,0.031218,323.000000
530846.119856,detection,65,3263.000000,0.000000
530846.120512,detection,99,0.926389,0.948949
530846.120512,detection,34,7.111111,64.000000
530846.120941,detection,32,0.029299,3263.000000
530846.120942,detection,33,0.926389,0.948949
530846.120942,detection,84,0.948949,0.000000
530846.120942,detection,66,0.029299,334.000000
530846.199007,detection,65,3377.000000,0.000000
530846.199679,detection,99,0.929167,0.943787
530846.199680,detection,34,7.222222,65.000000
530846.200142,detection,32,0.031744,3377.000000
530846.200142,detection,33,0.929167,0.943787
530846.200142,detection,84,0.943787,0.000000
530846.200143,detection,66,0.031744,339.000000
530846.278685,detection,65,3350.000000,0.000000
530846.279373,detection,99,0.923611,0.942249
530846.279373,detection,34,6.300000,63.000000
530846.279834,detection,32,0.025772,3350.000000
530846.279834,detection,33,0.923611,0.942249
530846.279834,detection,84,0.942249,0.000000
530846.279835,detection,66,0.025772,330.000000
530846.358610,detection,65,3333.000000,0.000000
530846.359319,detection,99,0.922222,0.943620
