timestamp,phase,code,valueA,valueB
689763.392843,camera,96,0.000833,800.000000
689763.708604,detection,65,311.000000,0.000000
689763.708990,detection,35,0.912500,81.000000
689763.709037,detection,34,2.864952,11.000000
689763.709073,detection,32,0.029872,311.000000
689763.709073,detection,98,0.323611,0.000000
689763.709074,detection,85,0.029872,0.323611
689763.709074,detection,66,0.029872,2.864952
689763.709074,detection,127,0.029872,2.864952
689763.815958,detection,65,116.000000,0.000000
689763.816095,detection,35,0.933333,46.000000
689763.816107,detection,34,3.172414,8.000000
689763.816118,detection,32,0.018691,116.000000
689763.816118,detection,98,0.300000,0.000000
689763.816118,detection,85,0.018691,0.300000
689763.816119,detection,66,0.018691,3.172414
689763.816119,detection,127,0.018691,3.172414
689763.920928,detection,65,716.000000,0.000000
689763.921257,detection,35,0.899281,140.000000
689763.921278,detection,34,4.106145,21.000000
689763.921327,detection,32,0.034574,716.000000
689763.921327,detection,99,0.786111,0.000000
689763.921328,detection,85,0.034574,0.786111
689763.921328,detection,66,0.034574,4.106145
689763.921328,detection,127,0.034574,4.106145
689764.027588,detection,65,706.000000,0.000000
689764.027949,detection,35,0.925000,121.000000
689764.027967,detection,34,3.941926,23.000000
689764.028012,detection,32,0.023456,706.000000
689764.028012,detection,98,0.604167,0.000000
689764.028012,detection,85,0.023456,0.604167
689764.028014,detection,66,0.023456,3.941926
689764.028014,detection,127,0.023456,3.941926
689764.134689,detection,65,670.000000,0.000000
689764.135108,detection,35,0.909091,122.000000
689764.135130,detection,34,3.823881,21.000000
689764.135181,detection,32,0.024087,670.000000
689764.135181,detection,98,0.604167,0.000000
689764.135182,detection,85,0.024087,0.604167
689764.135182,detection,66,0.024087,3.823881
689764.135182,detection,127,0.024087,3.823881
689764.240908,detection,65,696.000000,0.000000
689764.241322,detection,35,0.911290,125.000000
689764.241344,detection,34,3.591954,20.000000
689764.241390,detection,32,0.024936,696.000000
689764.241390,detection,99,0.784722,0.000000
689764.241391,detection,85,0.024936,0.784722
689764.241391,detection,66,0.024936,3.591954
689764.241391,detection,127,0.024936,3.591954
689764.350846,detection,65,669.000000,0.000000
689764.351243,detection,35,0.909836,123.000000
689764.351264,detection,34,3.493273,19.000000
689764.351314,detection,32,0.026781,669.000000
689764.351314,detection,98,0.602778,0.000000
689764.351314,detection,85,0.026781,0.602778
689764.351315,detection,66,0.026781,3.493273
689764.351315,detection,127,0.026781,3.493273
689764.462637,detection,65,618.000000,0.000000
689764.462975,detection,35,0.904348,116.000000
689764.462993,detection,34,3.566343,19.000000
689764.463033,detection,32,0.022601,618.000000
689764.463033,detection,98,0.602778,0.000000
689764.463033,detection,85,0.022601,0.602778
689764.463034,detection,66,0.022601,3.566343
689764.463034,detection,127,0.022601,3.566343
689764.463135,detection,128,0.034574,1.000000
689764.463135,detection,129,0.250000,8.000000
689764.463135,detection,130,2.000000,1.000000
689764.463136,detection,144,0.034574,1.000000
689764.463142,detection,144,0.034574,1.000000
689764.463143,detection,126,8.000000,0.034574
689764.463143,detection,128,0.034574,1.000000
689764.463143,detection,144,0.034574,1.000000
689764.463143,detection,144,0.034574,1.000000
689764.573251,detection,65,617.000000,0.000000
689764.573588,detection,35,0.906780,119.000000
689764.573605,detection,34,3.664505,19.000000
689764.573645,detection,32,0.020561,617.000000
689764.573645,detection,98,0.602778,0.000000
689764.573646,detection,85,0.020561,0.602778
