timestamp,phase,code,valueA,valueB
689902.744948,camera,96,0.000833,800.000000
689903.061358,detection,65,112.000000,0.000000
689903.061562,detection,35,0.909091,45.000000
689903.061594,detection,34,2.812500,7.000000
689903.061612,detection,32,0.024519,112.000000
689903.061612,detection,98,0.298611,0.000000
689903.061612,detection,85,0.024519,0.298611
689903.061613,detection,66,0.024519,2.812500
689903.061613,detection,127,0.024519,2.812500
689903.136734,detection,65,92.000000,0.000000
689903.136814,detection,35,0.930233,44.000000
689903.136821,detection,34,1.913043,4.000000
689903.136827,detection,32,0.024554,92.000000
689903.136827,detection,98,0.298611,0.000000
689903.136827,detection,84,0.930233,1.913043
689903.136827,detection,66,0.000000,0.000000
689903.136827,detection,127,0.000000,0.000000
689903.212992,detection,65,626.000000,0.000000
689903.213263,detection,35,0.913043,116.000000
689903.213278,detection,34,3.335463,18.000000
689903.213311,detection,32,0.024406,626.000000
689903.213311,detection,98,0.595833,0.000000
689903.213311,detection,85,0.024406,0.595833
689903.213312,detection,66,0.024406,3.335463
689903.213312,detection,127,0.024406,3.335463
689903.290671,detection,65,643.000000,0.000000
689903.290970,detection,35,0.918033,123.000000
689903.290985,detection,34,4.017107,21.000000
689903.291019,detection,32,0.026652,643.000000
689903.291019,detection,98,0.601389,0.000000
689903.291020,detection,85,0.026652,0.601389
689903.291020,detection,66,0.026652,4.017107
689903.291020,detection,127,0.026652,4.017107
689903.368878,detection,65,633.000000,0.000000
689903.369139,detection,35,0.912281,115.000000
689903.369152,detection,34,3.451817,19.000000
689903.369186,detection,32,0.019352,633.000000
689903.369186,detection,98,0.602778,0.000000
689903.369186,detection,85,0.019352,0.602778
689903.369186,detection,66,0.019352,3.451817
689903.369186,detection,127,0.019352,3.451817
689903.447295,detection,65,612.000000,0.000000
689903.447563,detection,35,0.911504,114.000000
689903.447577,detection,34,3.352941,18.000000
689903.447610,detection,32,0.024441,612.000000
689903.447610,detection,98,0.602778,0.000000
689903.447610,detection,85,0.024441,0.602778
689903.447610,detection,66,0.024441,3.352941
689903.447610,detection,127,0.024441,3.352941
689903.526361,detection,65,592.000000,0.000000
689903.526605,detection,35,0.907407,109.000000
689903.526617,detection,34,3.314189,18.000000
689903.526647,detection,32,0.018990,592.000000
689903.526647,detection,98,0.454167,0.000000
689903.526647,detection,85,0.018990,0.454167
689903.526647,detection,66,0.018990,3.314189
689903.526648,detection,127,0.018990,3.314189
689903.605752,detection,65,565.000000,0.000000
689903.605968,detection,35,0.904762,106.000000
689903.605980,detection,34,3.564602,19.000000
689903.606008,detection,32,0.015843,565.000000
689903.606008,detection,98,0.601389,0.000000
689903.606008,detection,85,0.015843,0.601389
689903.606009,detection,66,0.015843,3.564602
689903.606009,detection,127,0.015843,3.564602
689903.685207,detection,65,568.000000,0.000000
689903.685426,detection,35,0.904762,106.000000
689903.685438,detection,34,3.545775,19.000000
689903.685466,detection,32,0.016371,568.000000
689903.685466,detection,98,0.601389,0.000000
689903.685466,detection,85,0.016371,0.601389
689903.685467,detection,66,0.016371,3.545775
689903.685467,detection,127,0.016371,3.545775
689903.764837,detection,65,578.000000,0.000000
689903.765060,detection,35,0.908257,110.000000
689903.765072,detection,34,3.615917,19.000000
689903.765100,detection,32,0.018050,578.000000
689903.765100,detection,98,0.604167,0.000000
689903.765100,detection,85,0.018050,0.604167
689903.765100,detection,66,0.018050,3.615917
689903.765101,detection,127,0.018050,3.615917
689903.765179,detection,128,0.026652,1.000000
689903.765179,detection,129,0.000000,8.000000
689903.765179,detection,130,2.000000,1.000000
689903.765180,detection,144,0.026652,1.000000
689903.765185,detection,144,0.026652,1.000000
689903.765185,detection,126,8.000000,0.026652
689903.765185,detection,128,0.026652,1.000000
689903.765185,detection,144,0.026652,1.000000
689903.765186,detection,144,0.026652,1.000000
689903.844934,detection,65,605.000000,0.000000
689903.845178,detection,35,0.904348,116.000000
689903.845191,detection,34,3.642975,19.000000
689903.845220,detection,32,0.019782,605.000000
689903.845220,detection,98,0.604167,0.000000
689903.845221,detection,85,0.019782,0.604167
689903.845221,detection,66,0.019782,3.642975
689903.845221,detection,127,0.019782,3.642975
689903.924612,detection,65,603.000000,0.000000
689903.924836,detection,35,0.908257,110.000000
689903.924848,detection,34,3.283582,18.000000
689903.924877,detection,32,0.015830,603.000000
689903.924877,detection,98,0.455556,0.000000
689903.924878,detection,85,0.015830,0.455556
689903.924878,detection,66,0.015830,3.283582
689903.924878,detection,127,0.015830,3.283582
689904.004740,detection,65,602.000000,0.000000
689904.004937,detection,35,0.924528,107.000000
689904.004948,detection,34,3.377076,19.000000
689904.004978,detection,32,0.016909,602.000000
689904.004978,detection,98,0.455556,0.000000
689904.004978,detection,85,0.016909,0.455556
689904.004978,detection,66,0.016909,3.377076
689904.004979,detection,127,0.016909,3.377076
689904.084986,detection,65,612.000000,0.000000
689904.085182,detection,35,0.932039,104.000000
689904.085193,detection,34,3.398693,20.000000
689904.085224,detection,32,0.018171,612.000000
689904.085224,detection,98,0.455556,0.000000
689904.085224,detection,85,0.018171,0.455556
689904.085224,detection,66,0.018171,3.398693
689904.085224,detection,127,0.018171,3.398693
689904.164144,detection,65,588.000000,0.000000
689904.164348,detection,35,0.914286,106.000000
689904.164361,detection,34,3.605442,20.000000
689904.164390,detection,32,0.014771,588.000000
689904.164390,detection,98,0.608333,0.000000
689904.164390,detection,85,0.014771,0.608333
689904.164391,detection,66,0.014771,3.605442
689904.164391,detection,127,0.014771,3.605442
689904.242544,detection,65,1206.000000,0.000000
689904.242825,detection,35,0.927632,153.000000
689904.242840,detection,34,5.201493,41.000000
689904.242895,detection,32,0.019228,1206.000000
689904.242895,detection,98,0.606944,0.000000
689904.242895,detection,85,0.019228,0.606944
689904.242896,detection,66,0.019228,5.201493
689904.242896,detection,127,0.019228,5.201493
689904.321172,detection,65,1347.000000,0.000000
689904.321497,detection,35,0.921212,166.000000
689904.321513,detection,34,6.161841,50.000000
689904.321577,detection,32,0.019339,1347.000000
689904.321577,detection,98,0.606944,0.000000
689904.321577,detection,85,0.019339,0.606944
689904.321577,detection,66,0.019339,6.161841
689904.321577,detection,127,0.019339,6.161841
689904.399996,detection,65,1370.000000,0.000000
689904.400342,detection,35,0.926829,165.000000
689904.400360,detection,34,6.142336,51.000000
689904.400427,detection,32,0.017897,1370.000000
689904.400427,detection,98,0.608333,0.000000
689904.400428,detection,85,0.017897,0.608333
689904.400428,detection,66,0.017897,6.142336
689904.400428,detection,127,0.017897,6.142336
689904.400444,detection,128,0.019782,1.000000
689904.400444,detection,129,0.000000,8.000000
689904.400444,detection,130,2.000000,1.000000
689904.400445,detection,144,0.019782,1.000000
689904.400446,detection,144,0.019782,1.000000
689904.400446,detection,126,8.000000,0.019782
689904.400446,detection,128,0.019782,1.000000
689904.400446,detection,144,0.019782,1.000000
689904.400447,detection,144,0.019782,1.000000
689904.479500,detection,65,1421.000000,0.000000
689904.479863,detection,35,0.918605,173.000000
689904.479881,detection,34,6.209008,51.000000
689904.479948,detection,32,0.017741,1421.000000
689904.479948,detection,98,0.608333,0.000000
689904.479948,detection,85,0.017741,0.608333
689904.479948,detection,66,0.017741,6.209008
689904.479948,detection,127,0.017741,6.209008
689904.559128,detection,65,1444.000000,0.000000
689904.559472,detection,35,0.925287,175.000000
689904.559489,detection,34,6.059557,50.000000
689904.559555,detection,32,0.017878,1444.000000
