timestamp,phase,code,valueA,valueB
636490.973490,camera,96,0.000833,800.000000
636491.284397,detection,65,518.000000,0.000000
636491.284788,detection,35,0.896226,107.000000
636491.284831,detection,34,3.511583,17.000000
636491.284868,detection,32,0.014788,518.000000
636491.284869,detection,98,0.443056,0.000000
636491.284869,detection,85,0.014788,0.443056
636491.284879,detection,66,0.014788,0.443056
636491.356144,detection,65,212.000000,0.000000
636491.356256,detection,35,0.870968,63.000000
636491.356264,detection,34,4.754717,16.000000
636491.356275,detection,32,0.017234,212.000000
636491.356275,detection,98,0.391667,0.000000
636491.356276,detection,85,0.017234,0.391667
636491.356276,detection,66,0.017234,0.391667
636491.429483,detection,65,937.000000,0.000000
636491.429743,detection,35,0.929078,142.000000
636491.429758,detection,34,4.697972,31.000000
636491.429805,detection,32,0.001044,937.000000
636491.429805,detection,99,0.895833,0.000000
636491.429805,detection,85,0.001044,0.895833
636491.429805,detection,66,0.001044,0.895833
636491.503932,detection,65,888.000000,0.000000
636491.504192,detection,35,0.916667,133.000000
636491.504207,detection,34,4.343469,29.000000
636491.504253,detection,32,0.001165,888.000000
636491.504253,detection,99,0.694444,0.000000
636491.504253,detection,85,0.001165,0.694444
636491.504253,detection,66,0.001165,0.694444
636491.578806,detection,65,859.000000,0.000000
636491.579127,detection,35,0.928571,127.000000
636491.579140,detection,34,4.435390,30.000000
636491.579184,detection,32,0.000716,859.000000
636491.579185,detection,99,0.694444,0.000000
636491.579185,detection,85,0.000716,0.694444
636491.579185,detection,66,0.000716,0.694444
636491.654118,detection,65,859.000000,0.000000
636491.654361,detection,35,0.914062,129.000000
636491.654374,detection,34,4.505239,30.000000
636491.654418,detection,32,0.000923,859.000000
636491.654418,detection,99,0.898611,0.000000
636491.654418,detection,85,0.000923,0.898611
636491.654418,detection,66,0.000923,0.898611
636491.729838,detection,65,894.000000,0.000000
636491.730054,detection,35,0.929134,128.000000
636491.730067,detection,34,4.581656,32.000000
636491.730110,detection,32,0.000402,894.000000
636491.730110,detection,99,0.694444,0.000000
636491.730110,detection,85,0.000402,0.694444
636491.730110,detection,66,0.000402,0.694444
636491.806664,detection,65,859.000000,0.000000
636491.806885,detection,35,0.918519,136.000000
636491.806899,detection,34,4.749709,30.000000
636491.806939,detection,32,0.000872,859.000000
636491.806939,detection,99,0.898611,0.000000
636491.806939,detection,85,0.000872,0.898611
636491.806939,detection,66,0.000872,0.898611
636491.882987,detection,65,841.000000,0.000000
636491.883194,detection,35,0.921260,128.000000
636491.883208,detection,34,4.413793,29.000000
636491.883248,detection,32,0.000933,841.000000
636491.883248,detection,99,0.694444,0.000000
636491.883248,detection,85,0.000933,0.694444
636491.883248,detection,66,0.000933,0.694444
636491.959616,detection,65,846.000000,0.000000
636491.959884,detection,35,0.919355,125.000000
636491.959896,detection,34,4.284870,29.000000
636491.959935,detection,32,0.000488,846.000000
636491.959935,detection,99,0.694444,0.000000
636491.959935,detection,85,0.000488,0.694444
