timestamp,phase,code,valueA,valueB
473273.420071,camera,96,0.000833,800.000000
473273.728932,detection,65,189.000000,0.000000
473273.729116,detection,99,0.931944,0.886364
473273.729182,detection,32,0.034590,189.000000
473273.729183,detection,33,0.931944,0.886364
473273.729183,detection,84,0.886364,0.000000
473273.729191,detection,66,0.034590,45.000000
473273.800002,detection,65,173.000000,0.000000
473273.800073,detection,99,0.934722,0.902439
473273.800099,detection,32,0.056566,173.000000
473273.800100,detection,33,0.934722,0.902439
473273.800100,detection,84,0.902439,0.000000
473273.800100,detection,66,0.056566,42.000000
473273.873298,detection,65,820.000000,0.000000
473273.873575,detection,99,0.934722,0.919463
473273.873696,detection,32,0.018221,820.000000
473273.873696,detection,33,0.934722,0.919463
473273.873696,detection,84,0.919463,0.000000
473273.873697,detection,66,0.018221,150.000000
473273.947882,detection,65,894.000000,0.000000
473273.948134,detection,99,0.952778,0.927152
473273.948256,detection,32,0.019459,894.000000
473273.948256,detection,33,0.952778,0.927152
473273.948257,detection,84,0.927152,0.000000
473273.948258,detection,66,0.019459,152.000000
473274.022347,detection,65,948.000000,0.000000
473274.022610,detection,99,0.951389,0.922581
473274.022743,detection,32,0.012884,948.000000
473274.022743,detection,33,0.951389,0.922581
473274.022743,detection,84,0.922581,0.000000
473274.022744,detection,66,0.012884,156.000000
473274.097935,detection,65,867.000000,0.000000
473274.098197,detection,99,0.951389,0.910345
473274.098336,detection,32,0.014893,867.000000
473274.098336,detection,33,0.951389,0.910345
473274.098336,detection,84,0.910345,0.000000
473274.098337,detection,66,0.014893,146.000000
473274.173761,detection,65,791.000000,0.000000
473274.174000,detection,99,0.933333,0.920863
473274.174103,detection,32,0.015131,791.000000
473274.174103,detection,33,0.933333,0.920863
473274.174103,detection,84,0.920863,0.000000
473274.174103,detection,66,0.015131,140.000000
473274.249795,detection,65,749.000000,0.000000
473274.249995,detection,99,0.933333,0.917910
473274.250092,detection,32,0.014555,749.000000
473274.250092,detection,33,0.933333,0.917910
473274.250093,detection,84,0.917910,0.000000
473274.250093,detection,66,0.014555,135.000000
473274.325601,detection,65,729.000000,0.000000
473274.325800,detection,99,0.933333,0.920863
473274.325896,detection,32,0.016563,729.000000
