timestamp,phase,code,valueA,valueB
473392.499398,camera,96,0.000833,800.000000
473392.792766,detection,65,265.000000,0.000000
473392.792995,detection,98,0.570833,0.914286
473392.793411,detection,32,0.000233,265.000000
473392.793411,detection,33,0.570833,0.914286
473392.793412,detection,84,0.914286,0.000000
473392.793588,detection,66,0.000233,71.000000
473392.862903,detection,65,92.000000,0.000000
473392.862961,detection,98,0.565278,0.875000
473392.862977,detection,32,0.003712,92.000000
473392.862977,detection,33,0.565278,0.875000
473392.862977,detection,84,0.875000,0.000000
473392.862977,detection,66,0.003712,41.000000
473392.933481,detection,65,655.000000,0.000000
473392.933747,detection,98,0.570833,0.933333
473392.933845,detection,32,0.011634,655.000000
473392.933845,detection,33,0.570833,0.933333
473392.933846,detection,84,0.933333,0.000000
473392.933846,detection,66,0.011634,121.000000
473393.006801,detection,65,644.000000,0.000000
473393.007033,detection,98,0.569444,0.911504
473393.007123,detection,32,0.008959,644.000000
473393.007123,detection,33,0.569444,0.911504
473393.007123,detection,84,0.911504,0.000000
473393.007124,detection,66,0.008959,114.000000
473393.085668,detection,65,665.000000,0.000000
473393.085968,detection,98,0.569444,0.915254
473393.086086,detection,32,0.008691,665.000000
473393.086086,detection,33,0.569444,0.915254
473393.086086,detection,84,0.915254,0.000000
473393.086087,detection,66,0.008691,119.000000
473393.165080,detection,65,647.000000,0.000000
473393.165344,detection,98,0.570833,0.905983
473393.165442,detection,32,0.011146,647.000000
473393.165443,detection,33,0.570833,0.905983
473393.165443,detection,84,0.905983,0.000000
473393.165443,detection,66,0.011146,118.000000
473393.243668,detection,65,629.000000,0.000000
473393.243918,detection,98,0.568056,0.905172
473393.244006,detection,32,0.010318,629.000000
473393.244006,detection,33,0.568056,0.905172
473393.244006,detection,84,0.905172,0.000000
473393.244006,detection,66,0.010318,117.000000
473393.321410,detection,65,615.000000,0.000000
473393.321613,detection,98,0.568056,0.911504
473393.321693,detection,32,0.007258,615.000000
473393.321693,detection,33,0.568056,0.911504
473393.321693,detection,84,0.911504,0.000000
473393.321693,detection,66,0.007258,114.000000
473393.400048,detection,65,617.000000,0.000000
473393.400251,detection,98,0.569444,0.904348
473393.400338,detection,32,0.006854,617.000000
473393.400338,detection,33,0.569444,0.904348
473393.400338,detection,84,0.904348,0.000000
473393.400338,detection,66,0.006854,116.000000
473393.478805,detection,65,607.000000,0.000000
473393.479002,detection,98,0.569444,0.906780
473393.479081,detection,32,0.008799,607.000000
473393.479081,detection,33,0.569444,0.906780
473393.479081,detection,84,0.906780,0.000000
473393.479081,detection,66,0.008799,119.000000
473393.557883,detection,65,634.000000,0.000000
473393.558071,detection,98,0.569444,0.911504
473393.558151,detection,32,0.008268,634.000000
473393.558152,detection,33,0.569444,0.911504
473393.558152,detection,84,0.911504,0.000000
473393.558152,detection,66,0.008268,114.000000
473393.637595,detection,65,631.000000,0.000000
473393.637778,detection,98,0.569444,0.917431
473393.637864,detection,32,0.008548,631.000000
473393.637864,detection,33,0.569444,0.917431
473393.637865,detection,84,0.917431,0.000000
473393.637865,detection,66,0.008548,110.000000
473393.716684,detection,65,630.000000,0.000000
473393.716883,detection,98,0.569444,0.917431
473393.716970,detection,32,0.007818,630.000000
473393.716970,detection,33,0.569444,0.917431
473393.716970,detection,84,0.917431,0.000000
473393.716971,detection,66,0.007818,110.000000
473393.796461,detection,65,622.000000,0.000000
473393.796646,detection,98,0.569444,0.911504
473393.796725,detection,32,0.007277,622.000000
473393.796725,detection,33,0.569444,0.911504
473393.796725,detection,84,0.911504,0.000000
473393.796726,detection,66,0.007277,114.000000
473393.876462,detection,65,636.000000,0.000000
473393.876669,detection,98,0.570833,0.913793
473393.876755,detection,32,0.010094,636.000000
473393.876755,detection,33,0.570833,0.913793
473393.876755,detection,84,0.913793,0.000000
473393.876755,detection,66,0.010094,117.000000
473393.956573,detection,65,1106.000000,0.000000
473393.956837,detection,98,0.629167,0.921429
473393.956989,detection,32,0.007375,1106.000000
473393.956989,detection,33,0.629167,0.921429
473393.956989,detection,84,0.921429,0.000000
473393.956990,detection,66,0.007375,141.000000
473394.036656,detection,65,1733.000000,0.000000
473394.037047,detection,99,0.705556,0.953488
473394.037281,detection,32,0.001860,1733.000000
473394.037281,detection,33,0.705556,0.953488
473394.037281,detection,84,0.953488,0.000000
473394.037282,detection,66,0.001860,173.000000
473394.117508,detection,65,1754.000000,0.000000
473394.117897,detection,99,0.706944,0.942529
473394.118147,detection,32,0.001349,1754.000000
473394.118148,detection,33,0.706944,0.942529
473394.118148,detection,84,0.942529,0.000000
473394.118149,detection,66,0.001349,175.000000
473394.198713,detection,65,1824.000000,0.000000
473394.199091,detection,98,0.627778,0.952941
473394.199324,detection,32,0.000336,1824.000000
473394.199324,detection,33,0.627778,0.952941
473394.199324,detection,84,0.952941,0.000000
473394.199324,detection,66,0.000336,171.000000
473394.280389,detection,65,1842.000000,0.000000
473394.280765,detection,98,0.629167,0.958333
473394.281003,detection,32,0.000447,1842.000000
473394.281003,detection,33,0.629167,0.958333
473394.281003,detection,84,0.958333,0.000000
473394.281004,detection,66,0.000447,169.000000
473394.361609,detection,65,1824.000000,0.000000
473394.361958,detection,98,0.629167,0.946746
473394.362209,detection,32,0.001289,1824.000000
473394.362209,detection,33,0.629167,0.946746
473394.362209,detection,84,0.946746,0.000000
473394.362209,detection,66,0.001289,170.000000
473394.443172,detection,65,1840.000000,0.000000
473394.443529,detection,98,0.629167,0.949153
473394.443763,detection,32,0.000943,1840.000000
473394.443763,detection,33,0.629167,0.949153
473394.443763,detection,84,0.949153,0.000000
473394.443763,detection,66,0.000943,178.000000
473394.525111,detection,65,1840.000000,0.000000
473394.525485,detection,98,0.629167,0.948276
473394.525727,detection,32,0.000393,1840.000000
473394.525727,detection,33,0.629167,0.948276
473394.525727,detection,84,0.948276,0.000000
473394.525728,detection,66,0.000393,175.000000
473394.606631,detection,65,1797.000000,0.000000
473394.606985,detection,98,0.627778,0.947674
473394.607223,detection,32,0.000871,1797.000000
473394.607223,detection,33,0.627778,0.947674
473394.607223,detection,84,0.947674,0.000000
473394.607223,detection,66,0.000871,173.000000
473394.688754,detection,65,1845.000000,0.000000
473394.689120,detection,99,0.706944,0.943820
473394.689369,detection,32,0.000256,1845.000000
473394.689369,detection,33,0.706944,0.943820
473394.689369,detection,84,0.943820,0.000000
473394.689370,detection,66,0.000256,179.000000
473394.771298,detection,65,1796.000000,0.000000
473394.771662,detection,99,0.705556,0.943182
473394.771908,detection,32,0.001496,1796.000000
473394.771908,detection,33,0.705556,0.943182
473394.771908,detection,84,0.943182,0.000000
473394.771909,detection,66,0.001496,177.000000
473394.853722,detection,65,1830.000000,0.000000
473394.854105,detection,99,0.705556,0.943182
473394.854345,detection,32,0.002186,1830.000000
473394.854346,detection,33,0.705556,0.943182
473394.854346,detection,84,0.943182,0.000000
473394.854346,detection,66,0.002186,177.000000
473394.935533,detection,65,1814.000000,0.000000
473394.935914,detection,98,0.627778,0.952941
473394.936165,detection,32,0.001788,1814.000000
473394.936165,detection,33,0.627778,0.952941
473394.936165,detection,84,0.952941,0.000000
473394.936166,detection,66,0.001788,171.000000
473395.018072,detection,65,1839.000000,0.000000
473395.018438,detection,98,0.627778,0.953757
473395.018678,detection,32,0.000911,1839.000000
473395.018678,detection,33,0.627778,0.953757
473395.018678,detection,84,0.953757,0.000000
473395.018679,detection,66,0.000911,174.000000
473395.100349,detection,65,1851.000000,0.000000
473395.100700,detection,98,0.627778,0.948571
473395.100939,detection,32,0.000846,1851.000000
473395.100940,detection,33,0.627778,0.948571
473395.100940,detection,84,0.948571,0.000000
473395.100940,detection,66,0.000846,176.000000
473395.181484,detection,65,1862.000000,0.000000
473395.181868,detection,99,0.705556,0.948276
473395.182119,detection,32,0.001894,1862.000000
473395.182119,detection,33,0.705556,0.948276
473395.182120,detection,84,0.948276,0.000000
473395.182120,detection,66,0.001894,175.000000
473395.263469,detection,65,1831.000000,0.000000
473395.263826,detection,99,0.705556,0.949153
473395.264051,detection,32,0.001510,1831.000000
473395.264051,detection,33,0.705556,0.949153
473395.264051,detection,84,0.949153,0.000000
473395.264052,detection,66,0.001510,178.000000
473395.341569,detection,65,1846.000000,0.000000
473395.341944,detection,99,0.705556,0.948864
473395.342187,detection,32,0.001462,1846.000000
473395.342187,detection,33,0.705556,0.948864
473395.342188,detection,84,0.948864,0.000000
473395.342188,detection,66,0.001462,177.000000
473395.420931,detection,65,1830.000000,0.000000
473395.421305,detection,99,0.705556,0.948864
473395.421566,detection,32,0.001915,1830.000000
473395.421566,detection,33,0.705556,0.948864
473395.421566,detection,84,0.948864,0.000000
473395.421567,detection,66,0.001915,177.000000
473395.500622,detection,65,1871.000000,0.000000
473395.500993,detection,99,0.705556,0.948571
